ID,R2010,R2011,R2012,R2013,R2014,R2015,R2016,R2017,R2018,R2019,R2020,R2021,R2022
1403516,961703.0,846809.0,2024571.0,702191.0,2289440.0,7801178.955,1174516.0,208160.0,1265185.0,6736320.0,6909391.0,5393594.0,9571547.668
1403796,1031851.9641641667,396444.76,457392.139,753996.89197,633910.0,513187.779,768774.0,660675.0,945534.0,1615396.0,1961673.0,1837620.0,1837620.0
1405063,72661.95455555555,72661.95455555555,72661.95455555555,72661.95455555555,12423.0,9268.0,253099.0,130215.0,63532.0,47169.0,54961.591,41645.0,41645.0
1405098,1198544.0,1923668.0,2040019.0,1856747.0,2391838.0,1604189.0,2318172.0,2405845.0,3427111.0,4414400.0,3297434.0,5496882.0,3191780.0
1406743,164974.0,229493.0,182077.0,34422.0,35546.0,38483.0,149844.0,71865.0,-180363.0,-5563.0,184146.789,373856.578,373856.578
1406918,185225.0,196490.0,725935.0,2297169.0,686279.0,125692.824,-33425.0,8825.0,432357.0,414512.0,948048.0,58954.0,31092.0
1407632,6335165.860775833,2967334.8742,6097426.74511,7677389.118,4586649.0,4574213.592,5453704.0,5451733.0,7279640.0,8801308.0,6311268.0,8682200.0,8139124.0
1407667,93438.0,62568.0,57831.0,45509.0,67449.0,145964.0,115500.0,67222.0,229315.0,184215.0,-382045.0,367799.0,586195.0
1408346,9532.0,25440.0,41348.0,91359.0,125636.0,910972.0,825320.0,524630.0,216044.0,-182865.0,469848.0,576075.0,301041.0
1408647,164271.0,1649126.0,627288.0,1078776.0,809160.0,700162.0,451349.0,1608699.0,865380.205,1156838.0,1904151.0,1546682.0,1001192.0
1408801,140055.0,140055.0,140055.0,140055.0,-19708.0,-12006.0,273912.0,103879.0,255683.0,122274.0,127719.0,24612.0,384130.0
1410628,22036.0,58935.0,59646.0,1109089.0,78212.0,61382.0,960990.0,75587.0,-225831.0,218906.0,393537.0,1445021.0,1765316.0
1410705,248842.0,321575.0,245061.0,139317.0,194696.0,291481.51061,847063.0,812592.0,658483.0,940772.151,1296764.0755,1652756.0,3183774.0
1411629,3706465.0,3211426.0,3005471.0,3733889.0,3416863.0,6033270.0,7351298.0,8640140.0,9928982.0,12484487.0,11455311.5,10426136.0,11665153.0
1411944,829753.0,966745.0,2422880.0,1901038.0,2078629.0,312864.0,1750271.0,1409842.0,2334661.0,935491.0,2996969.0,1765088.0,2112158.0
1414632,1395386.255,1288009.627,1073156.218,2216627.078,891097.0,1243121.0,1600457.0,1458229.0,1684352.0,1976109.0,2971305.0,2874112.0,4287665.0
1416522,1850739.220125,-39000.0,165000.0,330356.0,1317147.0,2096064.0,2139989.2824999997,2183914.565,2441168.794,2794647.0,1972650.0,3239608.0,3567326.0
1418979,201239.0,295281.0,22180.0,120345.396,292610.548,424112.0,635278.0,681922.0,491071.0,833597.0,1037427.0,1277493.0,1478787.0
1419812,207828.0,109343.0,318528.0,597643.0,457754.0,515124.0,556272.0,467266.0,591388.0,755398.0,152932.0,1040929.0,5110777.0
1419959,1152305.0,917809.0,119977.0,92733.0,79814.0,-2971400.0,514179.0,1060569.0,1128123.0,1351303.0,219036.0,607466.0,1388635.0
1420722,-527555.75,-527555.75,-527555.75,-527555.75,-527555.75,-527555.75,-527555.75,-768126.0,-1367643.0,-10024.0,6101.5,22227.0,-1047870.0
1421954,87980.0,94939.0,147672.0,179183.0,188058.0,77499.0,45221.0,43749.0,51335.0,87214.0,16972.0,272043.0,207350.0
1423102,-12361.0,42658.0,77394.0,61902.0,119333.0,285438.0,1732265.0,2459944.0,2296993.0,2126249.0,-75715.0,2373167.0,6047689.0
1423116,343283.26953,222479.0,242345.0,205574.0,291258.0,388023.0,634657.0,525883.0,254677.0,208900.0,461739.0,1277103.0,2075971.0
1423305,2162919.0,2095199.0,1944133.0,3427055.0,4491612.0,5814160.0,7871888.0,9909864.0,10142350.0,12815270.0,11614708.0,11614708.0,11614708.0
1424019,236009.0,607134.0,308412.0,600244.0,209630.0,88682.0,-2877814.0,11918471.0,-1878588.0,-3327775.0,1094071.0,232770.0,-2677485.0
1424775,67949.0,-338.0,13571.0,187193.0,26597.0,90391.0,110952.0,248581.0,354021.0,261004.0,260577.0,192021.0,325634.0
1424936,72700.0,38336.0,110769.0,637037.0,500485.0,747114.593,605477.0,510467.0,468985.0,223560.0,-377090.0,1941971.0,-221225.0
1426469,1585680.0,4096042.0,3611351.0,3741796.0,3882636.0,4007713.0,6428246.0,6778776.0,2553049.0,1783291.0,-201608.0,1065615.544,1017812.317
1430403,-533060.0,60141.0,252076.0,41136.0,-1406827.0,-249870.0,62056.0,-942928.0,-491469.0,-536596.0,56241.0,203664.0,212876.0
1431285,5401462.038,4927730.0,6900790.0,5149831.0,4522154.0,3439104.0,5050548.0,3896998.0,6745265.0,7017366.0,4820954.0,3760113.0,6562686.0
1431404,202112.0,269999.0,265080.0,185746.0,27630.0,39690.0,255064.0,163926.0,243072.0,420368.0,464665.0,724259.0,614012.0
1431859,38526.0,188041.0,68873.0,57157.0,51440.0,168627.0,217636.0,652405.0,-777807.0,-265747.0,125482.0,409309.0,899872.0
1433105,47390.0,-105133.0,-103324.0,44792.0,37360.0,6472169.0,-360064.0,-2912078.0,-5464092.0,-5086208.0,-6801900.0,120265.0,-11475326.0
1433217,218975.0,327122.0,555115.0,202750.0,567280.0,672170.0,541984.0,159409.0,1046109.0,328786.059,475202.0,1245492.0,1485193.0
1434001,-291134.0,-97282.0,137061.0,299285.5,461510.0,1994315.0,416101.0,638406.0,885056.0,662661.0,-947716.0,-395587.0,-79936.0
1434988,399783.0,185336.0,1015659.0,108710.0,114242.0,725371.0,1232428.0,895866.0,172630.0,843854.0,1939590.52,1426573.0,2176915.0
1439335,1416290.9090909092,1416290.9090909092,205756.0,42824.0,197559.0,175472.0,1066461.0,655175.0,173195.0,1491747.0,352793.0,7125952.0,4092266.0
1440798,3130743.285714286,3130743.285714286,3130743.285714286,3130743.285714286,3130743.285714286,3130743.285714286,2765855.0,2817013.0,3213671.0,2240906.0,968402.0,4495691.0,5413665.0
1441435,280294.0,197827.0,105876.0,-126972.0,23040.0,85133.0,327552.0,279709.0,-38414.0,456426.0,143108.0,-3221265.0,-3221265.0
1441785,82289.0,114971.0,198462.0,203247.0,197188.0,194964.0,100877.0,61758.0,471048.0,616501.0,621045.0,561253.0,382225.0
1445012,156263.0,-15767.0,-112258.0,-171587.0,-78442.0,135685.0,-15814.0,-208086.0,6860.0,6114425.666666667,12221991.333333334,18329557.0,17745210.0
1445152,539594.0,690458.0,1708512.0,2583650.0,1873719.0,5637014.0,4454692.0,5419812.0,4460723.0,3866081.0,-6542545.0,16215524.0,14423360.0
