ID,FondoManiobra2010,FondoManiobra2011,FondoManiobra2012,FondoManiobra2013,FondoManiobra2014,FondoManiobra2015,FondoManiobra2016,FondoManiobra2017,FondoManiobra2018,FondoManiobra2019,FondoManiobra2020,FondoManiobra2021,FondoManiobra2022,Diccionario!A1
246920,147302,82755,185212,473041,731050,549228,636146,-4562789,-5803653,-3708016,0,25364526,-1864649,
247004,125343,1260370,2282717,1492293,763976,-2042094,-7874503,-17996249,-16760548,-6670991,-18418846,-811652,-9055109,
247088,-131472,1461213,388839,617392,904412,381592,"925683,804",542567,1151075,1165301,1096325,484540,824556,
247172,8873,59039,48159,-189295,-182528,187354,41456,6631,-2484,52715,75092,11722,103465,
247235,11510120,12022288,2821578,4573590,9733020,-15518864,9845469,-2359742,658974,12861089,9184508,24863959,24957731,
247242,16291604,38575697,48598933,52596420,54097247,109843979,74935896,66038891,20341504,-210236109,-111222210,-30232937,-134485527,
247298,20711,847533,162820,-89195,163626,183941,"-223358,576",-378843,-486504,-659999,-431908,-403472,0,
247564,962765,1802678,1842019,702513,792299,4398498,4556580,7216502,7362661,9408662,5680877,7424962,12065300,
247662,2121942,3903649,4529024,3891061,3757716,449953,-382069,-5691901,-6436107,2809604,4353552,"10229237,148",7611113,
247690,237918,484900,429148,1356708,372802,493532,1233161,761041,46868,209267,116844,295784,712058,
247697,3231717,2238471,1631230,2457695,3037909,1389015,2116688,-3211130,-2609987,-3271317,-1059093,-3629,-1775076,
247732,89582,79149,"133197,11",105529,0,160646,144619,120328,166268,71236,48086,262452,122874,
247746,66132,206418,797137,1391993,3275,491543,448512,218041,490888,606862,356801,1995154,499863,
247837,-100871,1205114,100626,50880,139074,-243743,-80129,111700,83608,59251,0,74289,32158814,
247914,19093,22087,80923,72236,536378,12796,127647,397694,243934,96961,87418,162442,117809,
247963,24975,-42393,21376,69708,106601,141348,208287,301274,168104,380355,410571,1048404,0,
248005,475480,201316,301615,295554,495698,636391,1544705,599674,819145,4858429,265836,-514667,701903,
248019,374585,564133,805140,1618095,1229727,643843,6847,391608,321630,257706,1080732,1291592,1734261,
248054,1162168,6001033,2205913,935138,805902,970733,833046,1322665,235618,277806,712275,1243691,1538136,
248082,344939,-322894,406786,1144764,1021109,1977258,1160561,2414673,2017064,2500924,3675455,4098305,6091401,
248173,"1653935,228",2215559,2099222,1392536,2771419,629560,1000162,207403,451647,486142,154209,751655,1165082,
248187,392666,391389,393584,450637,543298,673062,642986,721952,711389,833346,865253,1067622,1321396,
248432,85754,0,"3082036,059","733360,458",893003,5337898,621838,-58924,-211265,906061,23040,872400,1478782,
248509,734471,5880049,-2452858,-17111856,-8923011,-24934568,-1394324,-19637198,-13215343,-5304960,-12484584,8702893,16070526,
248607,255047,301000,306638,356836,387001,342040,317242,145732,99974,-180428,235136,139994,619906,
248761,251033,291680,154548,73756,138694,150957,78719,24843,26349,131143,52960,178456,63965,
248824,124475,214141,298362,334130,461873,332862,308940,245817,540196,611154,324264,633312,845764,
249125,34001,-475,151313,-89822,76384,53028,22602,-103623,2165306,-610306,-5852,-27991,46025,
249279,178332,824498,383526,431072,169473,139851,642653,856405,715419,698000,209725,571043,-861356,
249307,159365,258381,472272,88883,222908,691399,323449,241612,417057,483914,472154,588190,1063166,
249328,-1156570,2704,88598,92008,-2590394,192015,"1118144,843",494482,534701,-136687,604249,1043081,1032900,
249342,1133186,405806,801734,408552,47728,312223,972892,109068,1033616,1381838,-4041094,853092,799315,
249377,371811,422255,107790,57306,47502,11908,88998,110276,129907,-2156992,0,0,0,
249405,966769,1306780,1328671,3166849,984055,723847,681526,1061648,1134414,898609,765348,1304117,1247434,
249440,456698,645504,749965,858083,1322385,1167077,1175688,296932,1903783,1865708,450232,303655,594236,
249706,176136,227031,222209,292632,294962,322195,303364,360759,371816,385424,148712,349004,406600,
249755,438049,501642,337936,215937,5449887,41622,-368928,-1131064,-816563,-632512,-2357772,0,0,
249951,40315,173881,90183,32382,-60812,-127698,"-111312,083",-216338,-246271,-228299,-244971,-37289,179568,
249958,30652,28277,157419,222191,360983,344188,430378,562060,668173,773802,496975,689608,1104410,
249965,237029,497382,293496,245488,273063,425755,211287,149750,261357,353724,319061,433726,763190,
