ID,AC2010,AC2011,AC2012,AC2013,AC2014,AC2015,AC2016,AC2017,AC2018,AC2019,AC2020,AC2021,AC2022,Diccionario!A1
98859763,"3631506,207","4195832,581","5797549,036","6857371,97",8751531,8279728,"8525754,343",7990043,8044799,9440603,8040316,9223629,14020330,
98861179,29833917,32938340,32917171,41059115,43962994,49836541,44195999,54782663,61660400,84843494,77410181,89190902,83363867,
98865211,"5530524,106","6265421,754","6925249,704","6370501,187",6103218,7241769,21611554,14904926,9664852,6250620,5211558,4570915,3989570,
98867419,"736476,512",1397145,"1659847,725",2525926,"3635325,426",5757160,8290119,13875002,16259014,12649361,8447446,9107663,9713519,
98869371,1105857,2511921,11682483,17237296,18085564,31372943,33378595,40479559,42095572,52573192,66168201,84727275,104617786,
98874147,121382638,121006514,140853971,123667434,181351170,63713170,39628838,34505488,31795579,26916895,25748095,42054208,42012517,
98874419,0,26884858,42067236,57704766,78036723,153829974,169154407,181870940,197012087,"206082939,369",0,248734766,259064873,
98875515,"1277438,544",1326003,2582323,3586118,8301485,7830646,6502334,6349189,4900516,9869509,5473187,5891885,5739375,
98876299,10161458,13743863,35822284,42689632,57973116,55130117,35856833,"48745111,42",47688303,"51104926,994",56941476,"63923804,096",0,
98881012,64256623,76479313,74176662,87852536,90578613,89115351,89504862,88346822,98338177,94424419,107567600,111452234,149755031,
98891628,5843542,"8185612,69",8798377,11498602,12530048,14318349,18474566,29387977,35440672,37345912,35547869,34730185,33705188,
98898684,6842371,9930441,10397979,17732790,15960040,26208681,28181950,31061945,38362690,44919487,52986037,56629273,72434978,
98899388,0,0,"4119204,401","6836923,461",8737952,17517499,15305824,13832111,19592329,20029175,19840989,9960477,10742289,
98899692,"1500865,067",2288067,"3070970,882","3093499,252",5690315,5941756,6962051,7644078,7753518,8030345,7838103,7364931,6971807,
98902620,6501400,19397151,6995024,14372520,19545258,47218058,34780291,35491169,19278833,42166164,140282412,125687054,262435129,
98910469,1998473,3041745,1711815,16354856,5929428,13750937,13353209,10805795,18084383,29778642,15068502,11758061,14669137,
98912326,10501507,20665359,10095354,10099329,0,27538170,68849152,46685900,64918275,45835312,41779498,72601688,205316552,
