ID,AC2010,AC2011,AC2012,AC2013,AC2014,AC2015,AC2016,AC2017,AC2018,AC2019,AC2020,AC2021,AC2022
33171919,2797989.0,3117929.0,3426726.0,4005838.0,4103015.0,4817495.0,4728230.0,4189463.0,4668946.0,5792475.0,5116357.0,5823890.0,7825804.0
33172094,3459225.0,3589998.0,3747854.0,4437451.0,4770581.0,5418723.0,5723468.0,6359027.0,6303317.0,7404399.0,9937780.0,10317542.0,8827906.0
33172185,30287852.0,31400825.0,37262086.0,39729621.0,47680615.0,38534233.0,34607851.0,36347775.0,41414317.0,40557626.0,38457490.95,44540964.0,45144083.0
33172346,14504014.0,17164865.0,19624168.0,20838071.0,23555693.0,25590245.0,25279617.0,24869184.0,25348407.0,30869345.0,32268414.0,51288006.0,51730227.0
33172360,11149345.0,12867647.0,15698617.0,18500427.0,23563472.0,29128627.0,35119449.0,41127449.0,40655459.0,43283060.0,46862459.0,52431050.0,60757972.0
33172444,6797920.0,8200923.0,7825909.0,8752928.0,8967828.0,9819075.0,11174981.0,13841201.0,14552593.0,19619516.0,23164121.0,30911703.0,29405089.0
33173025,4145630.0,5473796.0,4965271.0,5901110.0,7507619.0,7313774.0,7606731.0,6748264.0,7231808.0,7311743.0,7399074.0,8231429.0,7744814.0
33173039,4949094.0,5647674.0,5324717.0,6433931.0,7340411.0,8070895.0,7792012.0,9478936.0,11322372.0,14822926.0,17360853.0,17675531.0,19982439.0
33173473,5097574.0,6424644.0,11122769.0,14546099.0,19698526.0,15859394.0,14325634.0,17786408.0,21400774.0,22081779.0,23473133.0,28237796.0,36878858.0
33173725,7873885.0,10740393.0,16403274.0,22609300.0,21913237.378,21217174.756,12932900.0,13902880.0,12144022.0,12282765.0,12287676.0,12292587.0,12715915.0
33173809,3637579.0,3669370.088,9638213.609,9652260.278,8267124.0,7634604.0,7040572.0,7034716.0,8788219.0,11298615.0,10905858.0,11870580.0,13966580.0
33174117,9385743.0,7947437.0,7363088.0,7772804.0,9623711.0,8240706.0,9122620.0,15337933.0,16481092.0,17942681.0,19392810.0,26302209.0,33151565.0
33174124,14664063.0,16567034.0,23467600.0,25310793.0,25587444.0,22055399.0,19332274.0,24779690.0,23882967.0,27871618.0,40603987.0,31457465.0,45243302.0
33174446,2964992.702,3391940.1,3612472.17,4077262.628,4555525.572,7785622.167,7805772.412,8292491.725,8994607.848,9234138.0,11066693.0,11715866.0,7051964.0
33174677,19964160.0,20882925.0,21461404.0,25361568.0,26310174.0,29869675.0,29473698.0,29493793.0,37431566.0,36641322.0,40583304.0,46469609.0,53933890.0
33175209,3825871.0,3852565.0,3564410.0,3596109.0,3630987.0,3570859.0,3419876.0,3766237.0,5050305.0,5013624.0,4995000.0,7189078.0,7741529.0
33175622,11259389.0,9304926.0,10751698.0,11114222.0,16469886.0,17480224.0,18176609.0,16856692.0,19797985.0,24697646.0,32260434.5,39823223.0,38537725.0
33177862,8295820.0,13400109.0,16942322.0,24210052.0,44757731.0,72674905.0,118863184.0,162436402.0,193381772.0,199572774.0,235807481.438,242925651.243,245536832.0
33178100,7112466.0,7278076.0,8708138.0,11013993.0,13893945.0,15978973.0,16065124.0,16187649.0,19300768.0,22455896.0,22026167.0,40565632.0,27281796.0
33178177,10595721.0,11527101.0,11629777.0,12149403.88483,10067845.0,12196488.0,15179007.0,19094161.0,24870238.0,29548517.0,32600781.3905,35653045.781,38143823.0
33178310,2963157.0,2959601.0,2885026.0,5918188.0,12847810.0,16533582.0,15520265.0,9775251.0,17602232.0,11158981.0,10171371.0,8801531.0,18579149.0
33178359,1464824.0,1386460.0,1631247.0,1720587.0,1948881.0,2220478.0,2012021.0,2136653.0,2722831.0,3125198.0,3500167.0,3177209.0,3607873.0
33178604,14640113.0,8359480.0,13293122.85632,75664355.0,24488472.0,16834256.0,17261070.0,26739796.0,25530296.0,30718065.0,44265650.0,44568617.0,46149593.0
33178688,17552257.0,16720058.0,13470437.0,14006359.0,16301729.0,18555819.0,30293240.0,27087760.0,26542440.0,24308115.0,34351622.0,31784342.0,19075125.0
33179122,17794687.0,22541461.0,16698128.0,15453167.0,18671086.0,20865653.0,24265105.0,29591506.0,30789929.0,29548259.0,24940614.0,21885899.539,37239574.0
33179780,3911833.0,3377487.0,6868291.0,11666899.0,15744486.0,13727867.0,14721578.0,17960065.0,18360909.0,24469684.0,21519713.0,26746859.0,30464437.0
33179850,53683917.0,18078929.0,63425980.0,88120728.0,63238377.0,78377388.0,71001881.0,97920672.0,94223966.0,108850432.0,102697450.0,114784777.0,97522068.0
33179878,9175367.0,9763850.0,10187190.0,18473273.0,19785333.0,22529686.0,21143677.0,19757668.0,16157862.0,21538117.0,13500513.0,14536523.0,14275435.0
33179983,2745961.0,5010893.0,4293172.0,5395822.0,7647354.0,7322222.0,7597923.0,6248523.0,6979114.0,10236046.0,7096366.0,7477990.0,13352427.0
33180095,92620230.0,110082175.0,143312629.0,177261127.0,211209625.0,245158123.0,262656785.0,277179902.0,308351143.0,311859261.0,318974271.0,316606906.0,350218244.0
33180137,314159841.75,314159841.75,314159841.75,314159841.75,314159841.75,241272110.0,265271545.8,289270981.6,313270417.4,337269853.2,361269289.0,355855463.0,349799074.0
33180333,3382983.0,2408308.0,2653605.0,2888904.0,3044168.0,5274451.0,6178925.0,5578524.0,9075229.0,9138468.0,7782298.79,8085820.425,8542841.51
33180347,2576859.0,3399231.0,4117381.0,5224761.0,5139567.0,5407007.0,5544164.0,7979955.0,8102998.0,8365322.0,8465280.49,8465280.49,8465280.49
33180508,91488826.0,93178496.0,141196074.0,135919551.0,148245917.0,151759612.0,152131628.0,147987519.0,70488029.0,86014689.0,77974752.0,69934815.0,78246491.0
33180942,9319567.0,7192159.0,9368038.773,11111914.0,13947711.832,13968126.0,24448794.0,30536667.0,32753654.0,34721845.0,31874085.744,27248302.0,37206741.068
33180949,4367660.0,3850042.0,5791953.0,4739730.0,7034032.0,7937881.0,11147366.0,7665874.0,8443425.0,6179625.0,6650359.0,10306526.182,10994547.0
33180984,12093830.0,15099122.0,15327804.0,31925769.0,26957244.0,21456356.0,29827025.0,27419907.0,39034723.0,39522623.0,59939641.0,85571478.0,78171458.0
33180991,5514066.928,7913969.0,10557005.0,15787114.0,15629711.0,18772758.283,19043925.0,24552824.0,36903908.0,39490353.0,41111796.576,47070845.0,56656220.0
33181068,7646224.0,7428068.0,14600622.0,15265734.0,16156595.119,13359488.0,12576307.0,17279041.0,14767817.87,16291004.0,14596162.0,14647164.0,11879171.019
33181131,6968712.0,7572635.0,20552965.0,22162366.0,21093128.0,27465340.0,29000257.0,42532865.0,51084595.0,57759250.0,53127365.0,45874590.0,79042957.325
33181187,7449690.0,7700212.0,7708194.0,11138184.52779,11760767.0,13867502.0,15715131.0,20628884.0,26339797.0,32681190.0,34421973.484,38800972.917,38512861.0
33181670,155893.333,2346384.929,4599643.80817,3415276.192,4767768.4017,4321484.21661,9098336.773,16592109.646,26851560.324,24974764.0,17347453.0,25285777.0,38294023.0
33181831,3270605.0,3592650.0,6413909.0,6556605.0,9123917.0,9098947.0,10626778.0,14540399.0,17957435.0,21636833.263,37660188.1315,53683543.0,58940077.0
33182370,15130758.247,4150327.958,3401406.828,3421279.0,3598017.0,3908913.0,10234355.0,17970585.0,18633393.0,20773527.0,21625933.0,16508788.0,15048484.0
33182741,403544.0,599881.0,635795.0,780553.0,1061865.0,1296696.0,1908910.0,2581507.0,2685052.0,2765551.0,2964513.741,3104411.255,5836134.608
33182790,11832812.0,23921572.0,30530778.0,55039919.0,55944974.873,74902291.0,67397523.0,90387064.0,61386590.0,66327530.0,67252890.0,75522511.0,62087166.0
33183623,2223769.0,3085558.0,6292576.0,7703393.0,7650700.0,9892737.0,13067642.0,11806669.0,14682874.0,13289449.0,14244749.0,10163901.0,13217524.6
33183980,7349065.0,7925365.0,15794622.0,23663879.0,24992291.0,32274674.0,34777039.0,31504963.0,29851750.0,32064552.0,32734371.0,32112263.0,39319499.0
33184316,22649126.0,30679662.0,34043412.0,36541322.0,35895368.0,43153393.0,41432050.0,38981247.0,46837071.0,49408245.0,43522249.0,40569119.0,53351393.0
33184435,27926301.0,37081632.0,47651452.0,71221663.0,76284969.0,98229694.0,109686410.0,106380395.0,113055446.0,114028941.0,113946124.0,113813506.0,110005555.0
33184456,6831590.0,6608196.0,8730827.0,6790073.0,10727624.0,11010339.0,10554729.0,11263412.0,10163581.0,8734742.0,9066487.0,8722481.0,14247712.0
33184589,17425905.0,19290585.0,14671271.0,19530152.0,22320716.0,29206455.0,33658308.0,34349926.0,41673828.0,47387334.0,47459617.0,54147960.0,64975753.0
33184932,10713152.382,14279830.0,26422559.0,29226802.0,29609327.0,30557929.0,24787517.0,24467231.0,27211259.0,42053947.0,45541201.0,43735622.0,43019434.0
33185877,4283544.0,4789054.0,5431481.0,5505210.0,6073981.0,8074169.0,8287525.0,9067780.0,8573078.0,8331743.0,6946120.0,6728291.0,7229960.0
33186129,985659.0,859401.0,972618.0,1089289.0,1704722.0,2156571.0,3200118.0,3668616.0,3850325.0,3915535.0,3890348.0,4382403.0,4474855.0
33186353,3248200.0,3306593.0,3477271.0,3572074.0,3592420.0,7146451.0,7320928.0,7536660.0,7520095.0,7530895.0,7618801.0,7935367.0,8281798.0
33187256,4335012.0,4806740.0,6070623.0,8309582.0,8816234.0,10145954.0,11942826.0,16905961.0,16568912.0,18402519.0,18117649.0,23446823.0,27660046.0
33187305,1930131.0,2318052.0,2228000.0,2129341.0,2522336.0,2748257.0,1670351.0,1891608.0,1737991.0,1569130.0,1972184.0,3049935.0,2584493.0
33187319,1919033.0,1876941.0,2214417.0,2857516.0,2753581.0,1777458.0,2885207.0,1993480.0,2215008.0,3801474.0,3436385.0,3436385.0,3436385.0
33187326,742515.0,1245856.0,1657141.0,1837238.0,2411407.0,2925280.0,3178738.0,3008210.0,3035345.0,3845743.0,3731225.0,2746936.0,2299931.0
33187389,2228733.0,1865723.0,1748141.0,2229923.0,1918523.0,2063330.0,2252909.0,2160770.0,2413488.0,2590007.0,2342727.0,2095447.0,1886619.0
33187452,1640080.0,1818521.0,1921362.0,1902521.0,1810539.0,2987837.0,4115945.0,3772509.0,3730300.0,4604231.0,4656606.0,4979685.0,5278688.0
33187501,4929575.0,5634402.0,7846695.0,8325015.0,8206052.0,7733187.0,9309053.0,10884919.0,11093662.0,11182791.0,11303104.0,11379938.0,11269695.0
33188096,2507542.0,1750346.0,1240964.0,1677694.5,2114425.0,2551155.5,2987886.0,2963618.0,3006312.0,2977239.0,2945264.0,2932034.0,2943566.0
33191120,2985314.0,3209267.0,3489441.0,3427066.0,3417338.0,4002041.0,5272548.0,4765209.0,5217024.0,6620667.0,6649520.0,10599295.0,9666141.0
33191435,2539804.0,3186857.0,3609674.0,3889036.0,4529480.0,4658925.0,5935874.0,7198304.0,8327056.0,8501851.0,8867930.0,10046837.0,11352294.0
33192338,3039570.0,3734990.0,4288237.0,6401765.0,7598847.0,6764982.0,5639342.0,5906242.0,10494013.0,9353466.318,9237501.173999999,9121536.03,11689974.0
33195026,4847311.0,5136397.0,5355895.0,7483348.0,8865665.0,9397503.0,12121160.0,11713193.0,15240410.0,16322009.0,16382273.0,16390546.0,15797491.0
33195187,3738692.51,4450222.661499999,5161752.813,6880067.503,7209063.0,7294517.0,7575614.0,7469599.0,8010744.0,8059372.0,8129922.0,8548802.0,8897499.0
33195327,1903589.0,2260856.0,2533536.0,2329938.0,2799629.0,3441520.0,3888701.0,4095583.0,4275785.0,4358562.0,4111141.0,4164210.0,4258671.0
33196279,10483345.0,18923127.0,27172266.0,49833589.0,84047000.0,113413437.0,74882832.0,70068677.0,46544931.0,55194170.0,90740085.0,96977472.0,114265555.0
33196293,23828726.571,30057694.22498,52310189.3,60312428.0,77158486.0,89815981.0,96731494.0,105324646.13227,96441568.0,113195460.0,118178373.0,120979608.0,133664970.0
33196342,2008498.0,2413924.0,2556195.0,3778662.0,5792161.0,7072637.0,7619936.0,8246152.0,10071154.0,17473513.0,17822552.0,17822552.0,17822552.0
33196482,3674535.0,3713052.0,3605980.0,3857890.0,4179159.0,4500988.0,5078329.0,5655670.0,5689432.0,6057801.0,6451312.0,6634493.0,7278980.0
33196566,4261892.032,4318445.811,4680750.35,7310684.934,7687365.0,10964412.0,12393755.0,16908672.0,19519381.0,15880930.0,17844509.0,19011192.0,20473350.0
33196720,4652881.0,10385887.0,10973833.0,14355901.0,15396705.0,17144061.0,14869257.0,15372232.0,16677093.0,19798437.0,25594472.0,30788653.0,18212054.0
33197364,9482001.0,11631274.0,16235383.0,13067427.0,14306166.0,18218843.0,18821996.0,22358429.0,29698240.0,32540277.0,40683991.0,62141298.0,95369953.0
33197371,57655477.09041667,23045280.085,26620089.0,28714825.0,43406427.0,56003206.0,53655550.0,54646757.0,70782124.0,70178750.0,69147099.0,69254655.0,126410963.0
33198127,2037382.0,2344143.0,2191811.0,2702584.0,4539000.0,4844000.0,4862238.0,4243347.0,7275831.0,8818385.0,6731651.83,6805731.0,6694968.0
33198267,784215.053,981973.2215999999,1179731.3902,1377489.5588,1575247.7274,1773005.896,1979666.9479999999,2186328.0,2232088.0,2189973.0,2292792.0,2453591.0,3607240.0
33198281,7481872.0,8466099.0,8612765.0,8870602.0,9360365.888,10352206.0,9269891.0,10117981.0,10761529.0,9935175.0,9189486.0,10061439.952,11457869.121
33198498,6654000.671,6772153.0,6963058.0,8000643.0,9172983.0,10988390.0,9555216.5,8122043.0,8826493.0,9471869.0,9951337.0,10997841.0,10997841.0
33198638,1061566.0,1121333.0,1230921.0,1354154.0,1404402.0,1833354.0,1432799.0,1343956.0,1182775.0,1627513.0,1898060.928,1718296.091,1938876.404
33198666,15627750.87891,18741957.0,24984300.0,29388999.91632,29974123.69405,41104423.0,42361217.0,39638006.0,41487541.0,42132728.0,41446839.0,43883422.48,45613314.172
33198701,2287101.0,3873810.0,4724462.0,4826638.0,4990192.0,5218419.0,4784444.0,4566952.0,5045461.0,5149122.0,5908546.0,6197953.0,7502134.0
33198743,2735562.972,3288686.343,3835861.50725,4383036.6715,4930211.835750001,5477387.0,3783773.0,4389408.0,4186383.0,3967005.0,4566562.0,4638625.0,7196479.0
33198764,2121664.0,3502318.0,6458068.0,7247015.0,6469536.0,8150233.0,8401014.0,8621537.0,10001202.0,14481226.0,15525095.0,19404184.11,28427865.0
33198862,2417102.0,2314232.0,2592111.0,3417553.0,2774163.0,2429860.0,2672497.0,2431097.0,2503983.0,3610835.0,3557732.0,3720164.0,3471361.0
33198953,11096422.0,16274543.0,16993973.90899,22590678.0,28445358.296,30936570.15538,44092936.0,49178780.0,48719470.0,49539798.0,54366760.0,65367503.0,68086425.0
33199156,29517907.0,29673973.0,26000387.0,26049241.0,28495232.0,26826663.0,28743487.0,28536542.0,32805992.0,36255855.0,36892902.0,41087447.0,49622630.0
33199191,1290473.0,1909660.0,2261163.0,2019447.0,2134407.0,2292403.0,3803370.5,5314338.0,7685916.0,8144825.0,8342250.0,9519860.0,21591644.0
33199576,6479614.847590909,6479614.847590909,2267428.66,4132331.109,6545689.554500001,8959048.0,10734286.0,9014153.0,6863694.0,5674426.0,5069051.0,5195831.0,6819825.0
33200269,9407221.0,10340795.0,12231215.0,11735730.0,13508230.0,15168114.0,17043993.0,17520147.0,19203415.0,19845137.0,20191095.0,21561288.0,23650690.0
33202397,19272835.0,27772315.0,35460202.0,49325588.0,60930962.0,67119944.0,83745662.0,104776663.0,119881422.0,126457334.0,148008120.0,169558906.0,198721078.0
33202425,3585782.0,3900553.0,3782254.0,4311991.0,4474738.0,5606680.0,7111854.0,7667643.0,8178466.0,8893209.0,10171465.0,10654432.0,12939197.0
33202530,13401966.869166667,11185762.083,8617768.93,11309136.417,10690047.0,10753038.0,11496185.0,12415736.0,15545553.0,16987587.0,16838247.0,17643998.0,17340544.0
33202558,6036500.0,6102454.0,5772374.0,5709184.0,8340469.0,9994549.0,11133327.0,12454456.0,13577286.0,13129373.0,11001624.0,12979777.0,13010419.0
33202726,20449285.0,29084904.0,30430980.0,38137940.0,39188726.0,48700165.0,59091401.0,61430029.0,82531955.0,86956215.0,97923473.0,132949910.0,174380175.0
33202796,15554197.0,13723160.0,15687118.0,18237078.0,23459928.0,21160978.0,23457106.0,24959203.0,24817897.0,28360317.0,31376393.0,33992265.0,36712893.0
33203279,6546741.0,8189972.0,8143674.0,8937924.0,9533449.0,9755013.0,11101519.0,10118033.0,10159227.0,10198569.0,9956607.0,10340125.0,11242207.0
33204161,11676937.0,12096044.0,17699015.0,18429056.0,20981495.0,25520277.0,30494929.0,25467976.0,30737214.0,31023735.0,45792051.0,34323350.0,49558878.0
33204287,10355928.0,12137264.0,11891888.0,27359637.50425,28853864.0,40672257.0,83546829.0,90245024.0,114435277.0,158075534.0,136598491.0,139824598.0,197100201.84
33204336,3897134.0,3926456.0,3948461.0,3561608.0,5834004.0,6932983.0,5417163.0,6634676.0,4459663.0,3004847.0,3539559.0,3506685.0,5117391.0
33205057,3243772.818,6215001.027,9186229.236,9439754.618,9693280.0,9980144.0,8676870.0,9111365.0,9471334.0,10049965.0,10587887.0,13183521.0,14008998.0
33206478,9867976.0,13291533.0,15338205.0,17534098.0,16906918.0,17009247.071,20538891.535499997,24068536.0,25944560.0,27217826.0,27074126.0,28022173.0,28022173.0
33206618,4433866.0,4991225.0,5380094.0,6467939.0,7156449.0,7311010.0,8792204.0,8882390.0,9326698.0,11727945.0,12928731.5,14129518.0,10823032.0
33208375,7799147.0,7049097.0,7187399.0,10040791.0,9027507.0,11004420.0,14985320.0,19032627.0,23626347.0,24355781.0,37235582.0,52831033.0,69268024.0
33208676,4664534.0,4736924.0,4846098.0,5064485.0,5396001.0,5893554.0,8766722.0,9843367.0,10650063.0,8987065.0,7500507.0,8100060.0,12011326.0
33208683,2494200.0,2835801.0,3462777.0,3715902.0,4360026.0,5810395.0,7407758.0,8354964.0,9086967.0,6979966.0,4418615.0,1857264.0,1857264.0
33209005,7430920.0,8489464.0,9236001.0,9693858.0,10123364.0,11603785.0,13013838.0,11030059.0,12102806.0,10847128.0,10522366.0,10722054.0,10627918.0
33209103,4026359.0,4518345.0,4888357.0,5088000.0,5378549.0,6105027.0,9210308.0,9289570.0,9458123.0,3823035.0,3451731.0,8800796.0,6995809.0
33211791,2294991.0,2768742.0,3276195.0,6090189.0,6889414.0,8699358.0,9166079.0,9732301.0,9419403.0,8850744.0,8820551.0,11839915.0,13493411.0
