ID,Delta2011,Delta2012,Delta2013,Delta2014,Delta2015,Delta2016,Delta2017,Delta2018,Delta2019,Delta2020,Delta2021,Delta2022,Delta2012-2016,Delta2017-2021,Delta2018-2022,AltoCrecimiento2012-2016,AltoCrecimiento2017-2021,AltoCrecimiento2018-2022
382758059,NA,NA,NA,NA,"1,61380787708311","-7,24E-02","-7,76E-02","-0,0207483975211882","1,23275246122076","-0,459216562785747","-0,102762576710417","0,190479730122297",NA,"-0,0608784535968498","-0,289713789524143",NA,0,0
382764928,NA,NA,NA,"1,68493357550597","1,36E-02","0,549346072596962","8,48E-02","0,377298816914607","-0,379109740350742","-0,676350485196008","3,14595588822462","-0,232028793735847",NA,"-0,14747348390248","0,360177628292152",NA,0,0
382766776,NA,NA,NA,"0,23204880355525","-0,356853560017751","-6,37E-02","1,96090909655279","1,60478932445814","0,594431046965769","-0,238927788032559","0,531705445908163","0,250671476988625",NA,"-3,84149477596458","-1,32461004252156",NA,0,0
382770167,NA,NA,NA,"3,02050969626007",-1,NA,"0,545965938860394","-0,331569415986726","-0,289816287613759","0,0732167334545114","5,40E-02","1,64E-02",NA,"0,463040756619256","0,183531326272547",NA,0,0
382773094,NA,NA,NA,"4,56317850700653","0,617048513591913","8,79E-02","7,25E-02","0,00744858588979702","0,08027826105838",-1,NA,"0,437987760372803",NA,"0,12334737918607","-0,25129535788248",NA,0,0
382775466,NA,NA,NA,"1,25315009764634","0,490517751340732","0,243154143195298","0,236064715857626","0,107619028402739","0,278653489335823","-0,00470620483619255","9,22E-02",-1,NA,"-0,539590052700618",1,NA,0,1
382779633,NA,NA,NA,NA,"0,482544118296005","8,03E-02","0,228437994679043","0,190676041527896","-0,1235651357266","-0,209790022398033","1,32327682987501","0,451328679608575",NA,"-0,915828945199581","-1,33522586867912",NA,0,0
384485320,NA,NA,NA,NA,"5,31049524172772","0,436511263200766","-0,1361053038179","0,471922791166528","0,125125351000432","0,104198423976753","1,98254026486694","-0,196264536644897",NA,"-4,4540533090562","-1,97815625236947",NA,0,0
384487080,NA,NA,NA,NA,"1,61864791899093","0,813343421529706","0,231724661168825","0,287728898229207","0,0732329424728785","-0,110736105590261","0,128861386617877","-7,99E-02",NA,"-0,387361742043753","0,0087287011567361",NA,0,0
385783692,NA,-1,NA,"-4,87E-02","0,535230836608793","-0,273723069487831","0,68143553832762","-0,194363673116452","0,20071989389552","-0,137117543737716","-0,372002876251391","7,18E-03","1,7489722722316","0,475808419844014","0,344673758598638",1,0,0
385807714,NA,NA,NA,NA,"5,18E-02","-8,90E-02","0,10822884883156","0,274867336248202","0,805164029319448","-0,0135419805329842","0,622619025174284","0,758878177141913",NA,"-2,68363708494559","-4,08215144980391",NA,0,0
385808945,NA,NA,NA,NA,-1,NA,"6,16E-03","0,156803581747898","0,310353992430107",-1,NA,"0,609547425491143",NA,"-0,327974410475939","-0,847710213924181",NA,0,0
385814531,NA,NA,NA,NA,"-0,120717600420513","3,43930948629802","-0,127865862017918","-0,812033810903133","13,7257398166846","-0,546377890781502","-0,442139951943256","0,312706831250082",NA,"0,299551301299426","-3,89175099065622",NA,0,0
385988455,NA,NA,NA,"4,13398788444795","0,449148681062964","0,377883275226269","1,46398276414311","0,106406122390116","0,0419939783109201","0,0115076309127107","6,60E-02","0,436173113865408",NA,"-0,243141687940331","-0,613663041820777",NA,0,0
385991491,NA,NA,NA,"0,793029920230456","3,59E-02","0,168644629550051","0,419310728070481","0,725336501932089","-0,432960110207347","-0,473733536720294","9,51E-02","1,19408352297425",NA,"0,436182923745971","0,283002616825658",NA,0,0
385991815,NA,NA,NA,"10,4825591485329","0,805020336605466","0,734844365112519","0,26349754642771","-0,321077834181686","0,871719810542024","-0,814547918725393","-0,940165243126769","107,310540074411",NA,"0,985899124849743","-1,24955595786939",NA,1,0
