ID,PT2011,PT2012,PT2013,PT2014,PT2015,PT2016,PT2017,PT2018,PT2019,PT2020,PT2021,PT2022,Diccionario!A1
89382809,583632,716668,834839,1570619,2314544,3106882,3778177,3272615,6637164,19036101,37027738,56727084,
89414517,7452680,12730267,7679915,8233615,4791890,6535308,10396605,8016718,7665304,6458561,5046738,3021463,
89415078,1679828,1727693,1312515,1005779,635310,1175015,1779779,1449209,649803,524655,1093228,2641723,
89451277,291089389,361856702,651385347,596487843,654876516,850376283,1017736077,935621585,1252792686,"1334549739,463",1387949328,1368346747,
89464701,45542074,58133404,58408852,54995540,80159540,73996787,65232938,66638063,65189051,66602417,38752932,41648518,
89469965,24161644,31703568,15973154,3376146,-711169,4442377,1596425,-7454050,17619540,16777878,-5762880,22632093,
89470371,"127082,703",0,1020325,6053725,6588849,1662932,1531698,4373410,10533699,11149464,14566505,16911873,
89472373,3370348,3408374,2912257,3363117,3631576,5197358,6098742,5206654,5545858,6347898,7412632,8247331,
89472877,19104634,22653012,27676908,27850374,29961540,23927508,29047685,29601895,29755420,"29975482,202",30504600,30147051,
89474872,"3165230,636",3322200,4659100,5225814,5499726,8630724,9223922,9759263,10112806,10442863,10632503,6824924,
89476812,293902,253777,324100,804264,881904,1634323,1778730,1988611,1820602,5610597,9711722,4268306,
89481988,0,1328680,1599260,1884966,2003454,1710265,1132756,1134710,750363,604895,692393,1068877,
89487214,1742139,1771654,1816167,1871739,3659821,3765822,4014475,"3925011,724",3632193,3749730,"3899380,543",4835410,
89499565,9828179,"13042560,878","13128383,714",13227416,13136006,16346054,16789085,17161691,17592925,17938471,17299251,0,
89556267,2962153,3776243,4635212,6040061,8059171,8247238,9999708,11004349,12503484,14795078,16614355,16396478,
89563083,2517981,5167865,4951059,9023920,8750735,29017930,28492453,27994646,27514296,39154898,39230298,44706648,
89567025,3612363,4180864,5556468,7589869,8704496,11104155,9595868,10354843,11163388,10485580,10108891,9494490,
89569958,22616254,29038521,35200050,"38411569,683","47660289,218",60424469,68378885,67374649,42597538,34805195,19076371,0,
89572732,9486786,10245392,9791021,8889152,"7647033,71",7319049,6249484,3606361,5119264,5178500,5346270,5742552,
89573089,1976977,2848970,3142005,3275903,6542912,6660590,6868049,4168627,3793094,4468593,4607375,4667371,
89573670,1283342,1601374,837308,-867851,4983759,7706012,13864913,14328980,14718993,16318052,19919381,25907841,
89574559,1157430,1533356,1862654,2628566,2659382,5365009,4743031,4144916,3198114,2986606,3646195,3165518,
89583647,0,0,"2032319,593",0,0,0,"1720940,32","2079790,642",1928360,2084447,2261352,2564418,
89586579,"408801,347","580231,28","999709,205",9756611,10414307,12760999,11445911,7475892,4086134,2717382,7802862,12743278,
89589324,6300277,7001875,7993336,21900439,23919197,26288616,28992626,39904585,45333737,44397211,50050557,48569439,
89592001,2247255,2186990,0,2202124,2183448,1737553,1876008,2059151,3393550,3396937,3959307,4458995,
89593240,0,0,0,0,0,0,5364609,5982777,6375377,6893460,7661907,9089356,
89594878,2020826,2387263,3104340,4019698,5410019,6963419,8702154,10700276,12193136,13283184,15819764,16586305,
89595732,6353228,7197869,10080619,11770376,10362336,11362046,8629271,8269372,8306515,6608257,6937850,47273351,
89605473,"1289855,149",0,1946721,3663830,10006528,10324713,10920858,11885351,13148068,15528591,18156277,23846466,
89609992,2713077,3951918,5050869,5587939,6250023,7290986,7030932,10251871,12114869,12708980,19800735,17941141,
89676322,1823347,2230111,2126834,1978767,1964712,6271400,6394229,6059393,6207504,6316713,6594107,6885505,
89676354,0,0,"2244706,797","2695297,886",0,0,"3080338,315","3968871,73",5084630,5595279,6309131,7329380,
89676906,753945,818452,863174,900299,973218,2310642,2169571,2225023,2212541,2274429,2928957,2916113,
89678052,0,0,"7725733,33881",8299628,8383872,10990565,11029662,12456010,12764997,13882492,14818430,14666669,
89678060,3380474,0,"5448963,72",6200216,6219352,7730188,7729838,7693867,7877202,7709119,8953236,12416273,
89678076,398170,408878,471839,574664,602251,438927,453716,524110,246273,170305,171458,166055,
89678100,"2164711,962","2325879,103","4046078,977","4109277,836",0,0,19507853,19636334,20460547,20840377,20897688,21621778,
89678868,525823,554012,643008,739686,891632,4210043,4514860,3668879,3645748,3621660,3783690,5440272,
89679364,"685595,112",927721,1001077,1192010,1375113,"1851272,278",2843536,3214972,3539149,4095019,"5090049,248","6797349,306",
89680450,"315047,204",0,"929213,507",0,"1192768,602",5229204,6091899,6375278,6294676,6793333,7551434,"6938263,283",
89725300,1332055,1293858,1189868,1081519,1458670,1071375,1175092,699960,407404,962153,833655,0,
89821098,4305099,4712807,4890444,4503223,6311100,8848684,10439463,12851278,12452120,10498291,9734867,13016396,
89822907,157438,418514,693889,748180,752764,442357,320094,404258,507332,1790451,2093423,2148509,
89828693,7938395,7796637,8210650,8272574,0,0,11487536,7999847,4424784,4438432,7488054,3733524,
89829045,"975979,96","1022421,908","1116189,896","1219743,461",1360524,1506843,1554841,1607732,1741576,2047700,2876577,2608904,
89831687,216220,235854,328344,513184,1068752,964375,1007361,923649,1259418,1395935,1633184,1905244,
89833391,"1119051,406","1274103,801",1488333,1401886,3053832,2961547,4489549,4813318,4365838,4376920,8742569,5087774,
89837923,29286159,35891114,36479931,44394216,51456440,51127757,52053514,40843069,39475127,0,6179329,-4640481,
89871460,916237,1102863,899949,319903,7850256,7351487,7619423,7565446,7653768,7755156,7904522,8250307,
89871909,324186,332195,1865299,1903041,9495469,9607028,9734327,9908953,9933217,9687162,10259529,10388773,
90104371,0,"1226524,976","1575467,299","4771457,692",0,6340547,7202302,7134126,8729060,9756823,10360291,12017733,
90169180,0,"747757,463","1409985,32","3554530,454","3711654,829","3889143,774",4340170,4923064,5773566,5946378,6923816,7805403,
90175441,0,0,0,0,0,-7679255,-8709150,-273122,-131152,0,-9585962,0,
90177494,5317683,9093198,9728484,15069418,10423088,13285867,14109051,18401542,18282792,17114812,18333895,23220153,
90177671,1039036,1285888,603399,-756446,3609867,4292751,3039693,4314288,5669802,3757316,4708292,5456416,
90180275,15833379,16805314,15908855,14639745,4902579,1632905,23352122,20509344,21382626,20769881,24790132,23649718,
90182812,8618806,5717883,4844693,5356005,8992562,7945748,9132764,9385836,9955020,12283722,17447697,18253791,
