ID,SECTOR,RANGO_INGRESOS,EMPLEADOS,EDAD_EMPRESA,TIPOSOC
261487,11,2,4.0,43,7
261550,7,10,4.0,43,7
261683,11,6,2.0,44,7
261739,6,6,23.0,43,7
261837,11,8,94.74681518124376,43,2
261893,12,2,5.0,43,2
261991,6,3,202.0,44,7
262047,6,9,143.0,43,7
262068,2,0,58.0,43,7
262138,13,3,1.254,43,7
262243,6,3,86.0,43,7
262271,11,8,2.0,44,7
262355,12,2,30.0,44,7
262397,12,3,394.0,43,7
262502,11,5,139.0,43,7
262544,9,4,9.0,43,7
262593,5,5,143.0,43,7
262635,12,8,9.0,43,2
262719,9,5,294.0,43,7
262845,2,3,82.0,44,0
262852,2,4,38.0,43,0
262880,11,4,1.0,43,7
262915,11,8,2.0,43,7
262992,2,6,57.0,43,7
263125,12,1,21.0,44,7
263188,6,9,269.0,43,0
263447,11,8,2.0,43,7
263454,2,9,235.0,43,0
263517,8,7,58.0,43,7
263531,0,3,71.0,43,0
263678,6,5,7.0,43,7
263923,6,1,77.0,46,7
263951,0,5,620.0,50,7
264021,6,9,967.0,43,0
264140,11,8,6.0,43,0
264238,1,3,18.0,43,0
264245,2,9,126.0,43,7
264392,2,1,91.0,43,0
264413,7,0,305.0,43,7
264455,6,0,30.0,43,7
264490,9,9,105.0,43,0
264595,0,2,6.0,43,2
264623,2,5,174.0,43,7
264651,2,0,10.0,43,2
264721,2,6,87.0,43,2
265036,2,9,185.0,43,0
265092,9,4,1.0,43,0
265176,11,8,4.0,43,7
265190,2,1,86.0,43,7
265365,16,6,18.0,43,0
265484,2,5,107.0,43,0
265743,2,3,80.0,43,7
265750,6,5,136.0,43,7
265799,6,5,73.0,43,7
265932,6,3,89.0,43,0
266079,0,8,14.0,43,0
266128,6,1,41.0,43,7
266156,2,0,39.0,43,2
266261,9,3,424.0,43,0
266345,13,4,15.0,43,2
266366,2,7,43.0,43,7
266415,2,3,55.0,43,0
266597,13,0,579.0,43,7
266618,0,3,343.0,42,7
266660,11,8,4.0,43,7
266695,6,9,130.0,43,7
266702,5,4,4.0,42,7
266765,2,0,77.0,43,0
266884,5,2,31.0,43,0
267003,6,3,105.0,43,2
267010,11,8,2.0,32,7
267017,6,5,48.0,43,7
267248,2,9,196.0,42,7
267262,6,7,29.0,42,7
267283,11,3,10.0,43,7
267339,5,2,33.0,42,2
267388,13,2,8.0,42,7
267437,2,2,27.0,42,7
267451,6,9,207.0,42,7
267458,6,7,12.0,42,7
267584,6,5,211.0,42,7
267591,2,7,55.0,43,2
268067,6,3,119.0,28,7
268074,12,9,797.0,42,2
268130,6,1,34.0,42,0
268298,6,3,72.0,42,7
268312,12,1,45.0,42,7
268375,5,4,16.0,42,7
268459,7,1,151.0,42,7
268550,6,5,72.0,43,0
268613,6,6,25.0,42,7
268697,11,4,1.0,37,3
268725,2,7,62.0,43,7
268816,13,4,11.0,42,7
268935,6,3,110.0,42,7
269054,6,9,2.695,42,7
269425,11,8,1.0,42,2
269481,6,3,28.0,43,2
269502,0,8,2.0,42,4
269516,11,2,3.0,42,2
269558,2,3,89.0,42,0
269600,7,3,69.0,42,0
269684,2,7,60.0,42,7
269726,10,8,4.0,42,7
269733,11,8,1.0,42,7
269929,12,5,74.0,42,0
269978,0,8,4.0,36,4
270041,2,2,13.0,42,7
270062,11,8,1.0,42,2
270125,11,8,4.0,42,7
270132,14,4,66.0,42,2
270153,2,3,39.0,42,7
270223,11,10,2.0,42,3
270237,12,1,96.0,42,0
270279,2,10,50.0,42,4
270419,2,7,9.0,42,7
270433,6,6,33.0,42,4
270629,5,5,165.0,42,7
270692,5,7,109.0,42,0
270699,6,7,49.0,42,7
270734,2,9,899.0,42,0
270916,5,8,11.0,42,3
271147,6,1,44.0,42,0
271364,6,3,174.0,42,2
271609,13,3,369.0,42,7
271616,13,9,2.751,42,0
271742,11,6,61.0,42,7
272015,11,2,12.0,42,3
272036,2,0,64.0,42,0
272043,2,6,51.0,42,7
272316,2,9,972.0,42,0
272400,2,9,296.0,42,7
272449,2,0,49.0,42,0
272554,5,9,1.743,42,0
272631,6,4,12.0,41,7
272659,2,3,96.0,42,7
272673,12,4,17.0,42,7
272715,2,3,52.0,42,0
272743,0,7,184.0,42,6
272750,5,2,17.0,42,7
272792,2,5,153.0,42,0
272953,6,7,15.0,42,7
272974,6,9,370.0,79,0
273128,2,9,1.068,41,7
273163,2,8,10.0,41,7
273198,5,1,35.0,41,4
273226,6,6,33.0,41,7
273303,6,9,314.0,42,7
273408,13,0,115.0,41,7
273464,2,9,542.0,41,7
273478,6,3,45.0,41,0
273590,11,8,1.0,41,7
273758,6,5,266.0,36,7
273905,11,8,1.0,41,7
273947,6,3,117.0,41,7
274073,11,6,1.0,41,2
274185,6,6,50.0,41,2
274290,13,8,500.0,41,1
274416,0,8,8.0,41,0
274444,11,2,4.0,41,3
274458,9,3,350.0,41,0
274542,2,9,273.0,41,0
274598,6,6,19.0,41,2
274612,11,3,3.0,42,7
274640,6,3,99.0,4,7
274696,5,4,60.0,41,0
274745,11,8,94.74681518124376,41,4
274752,6,9,724.0,41,7
274787,2,3,154.0,41,0
274892,2,0,64.0,41,7
274913,6,7,44.0,41,7
274955,11,4,4.0,41,4
274983,12,2,14.0,41,7
275081,6,0,15.0,41,7
275109,6,0,52.0,41,7
275116,6,6,13.0,41,2
275179,2,3,139.0,41,7
275193,2,3,36.0,41,0
275347,13,1,96.0,41,7
275424,13,1,783.0,41,0
275431,11,8,7.0,41,3
275452,11,8,4.0,41,7
275515,13,8,2.0,41,0
275529,0,7,70.0,41,7
275718,9,9,500.0,44,7
275767,8,5,309.0,41,7
275795,11,8,1.0,41,7
275802,6,5,142.0,41,7
275809,9,9,1.65,41,7
275907,6,4,19.0,41,2
275921,14,0,123.0,41,7
275977,2,1,31.0,42,7
275998,11,2,3.0,41,7
276047,13,3,3.0,41,7
276215,6,5,86.0,41,2
276285,6,9,239.0,64,0
276313,13,8,11.0,43,7
276418,2,7,45.0,41,0
276432,6,9,319.0,41,7
276481,1,5,90.0,41,1
276628,6,0,19.0,41,7
276663,6,5,66.0,41,7
276670,6,4,24.0,41,2
276740,0,8,15.0,41,4
276845,2,3,208.0,41,0
276873,11,2,13.0,41,0
276894,5,9,107.0,41,7
276936,6,5,82.0,41,7
277062,12,0,9.0,41,2
277083,5,2,6.0,41,2
277104,9,8,12.0,62,1
277209,2,3,247.0,41,7
277230,2,2,28.0,41,7
277307,11,8,3.0,41,7
277391,2,9,338.0,41,0
277573,2,5,541.0,41,7
277594,6,6,13.0,41,7
277608,6,0,14.0,41,7
277643,2,3,110.0,41,0
277685,14,3,630.0,41,0
277881,13,9,23.959,41,7
278014,11,3,3.0,41,7
278049,11,8,9.0,41,7
278077,6,3,69.0,41,7
278084,2,5,100.0,41,7
278224,6,8,47.0,41,7
278245,5,3,41.0,41,0
278322,6,3,47.0,41,2
278399,8,3,391.0,41,7
278504,6,0,16.0,41,2
278525,2,9,896.0,41,7
278595,6,9,60.0,41,0
278819,11,4,10.0,41,7
278840,5,9,2.435,41,0
278889,6,2,5.0,40,2
279197,2,4,54.0,41,2
279316,6,2,56.0,41,7
279414,8,8,6.0,41,2
279428,6,5,99.0,40,2
279435,2,3,56.0,41,7
279505,2,3,21.0,40,0
279575,13,5,860.0,40,2
279603,2,9,95.0,58,0
279666,6,0,21.0,40,2
279680,11,8,1.0,42,4
279848,6,1,76.0,40,0
280044,6,9,2.134,40,2
280051,8,1,90.0,40,2
280072,6,3,102.0,40,7
280093,11,8,4.0,40,7
280156,13,1,752.0,37,2
280261,12,1,84.0,40,7
280296,5,9,152.0,41,7
280317,6,1,38.0,40,7
280457,8,9,1.924,40,7
280464,2,3,120.0,40,0
280471,2,3,110.0,40,7
280478,2,3,83.0,40,7
280583,11,6,100.0,60,0
280597,6,3,41.0,40,7
280639,5,5,270.0,40,0
280646,6,0,58.0,40,0
280688,2,8,11.0,52,7
280730,11,0,15.0,40,0
280758,11,4,11.0,40,7
280919,8,4,43.0,45,7
281024,11,2,85.0,40,4
281052,5,8,1.0,40,7
281087,2,3,67.0,40,7
281276,6,4,14.0,40,7
281283,8,0,527.0,40,0
281409,0,9,856.0,40,0
281577,2,0,120.0,30,2
281605,11,8,3.0,40,0
281647,2,5,163.0,40,0
281878,10,8,1.0,40,7
281899,6,5,92.0,40,0
281934,6,1,35.0,40,7
281962,2,9,8.775,40,2
281990,13,0,246.0,40,0
282053,2,5,370.0,40,0
282074,1,9,540.0,40,7
282123,6,5,88.0,40,0
282424,1,9,453.0,40,1
282543,14,0,116.0,40,7
282564,6,3,34.0,40,2
282739,2,3,143.0,36,7
282802,2,3,143.0,40,7
282921,2,3,39.0,40,7
282984,0,3,817.0,40,7
283012,9,0,217.0,40,0
283040,2,3,240.0,40,2
283138,6,5,22.0,40,7
283173,11,4,2.0,39,7
283180,6,5,92.0,40,7
283250,6,9,93.0,40,0
283306,6,3,86.0,41,0
283383,6,0,12.0,40,7
283397,11,2,7.0,52,7
283425,2,3,140.0,40,7
283467,7,7,61.0,40,7
283558,5,6,5.0,40,7
283593,2,3,86.0,40,0
283859,6,3,151.0,40,7
284083,11,8,4.0,42,7
284132,2,9,1.619,55,0
284202,2,0,128.0,40,2
284685,6,0,12.0,40,7
284713,2,9,177.0,40,0
284720,11,2,14.0,40,2
284776,2,5,418.0,40,7
284923,6,9,1.229,40,0
284944,2,0,93.0,40,0
285014,0,0,532.0,40,0
285175,6,1,44.0,40,4
285287,2,3,41.0,40,7
285840,2,5,297.0,40,7
285910,11,8,1.0,40,0
285945,6,7,8.0,39,7
286064,6,3,43.0,40,7
286162,0,5,588.0,40,7
286407,6,9,426.0,39,0
286491,2,4,8.0,39,7
286561,12,4,4.0,40,0
286589,5,8,1.0,39,4
286722,2,4,33.0,39,2
286729,13,0,57.0,39,7
286960,13,10,94.74681518124376,39,7
286995,2,1,179.0,40,7
287037,2,0,99.0,39,7
287072,2,7,144.0,39,0
287247,13,1,17.0,39,7
287303,5,0,145.0,39,7
287541,2,0,78.0,39,0
287674,2,3,216.0,39,7
287702,2,3,82.0,39,2
287765,6,3,12.0,45,7
287926,11,8,3.0,39,7
288150,1,9,82.0,39,1
288220,2,0,80.0,39,7
288395,6,9,500.0,39,7
288416,2,5,129.0,39,0
288472,6,7,15.0,28,2
288668,5,3,90.0,39,4
288759,6,3,30.0,39,2
288766,12,5,584.0,39,7
288787,8,1,157.0,39,7
288857,12,4,32.0,39,7
288913,2,4,15.0,37,7
288990,2,1,75.0,39,7
289011,2,1,54.0,39,0
289067,2,0,179.0,39,7
289081,0,3,14.0,39,7
289214,2,3,232.0,39,7
289340,12,8,3.0,39,3
289361,9,2,12.0,39,7
289417,6,0,20.0,39,7
289459,0,6,12.0,39,7
289704,6,7,1.0,39,2
289753,6,3,92.0,41,7
289781,11,8,6.0,39,7
289795,6,2,18.0,29,7
289830,13,5,2.585,39,7
289858,2,3,141.0,39,2
289907,0,2,14.0,39,3
289921,11,2,9.0,39,2
290194,6,4,56.0,39,7
290670,16,4,11.0,39,0
290796,11,10,1.0,39,3
290936,6,7,19.0,39,3
290964,13,8,3.0,39,7
291125,6,0,26.0,39,7
291160,6,7,3.0,39,0
291244,11,8,5.0,39,7
291384,2,9,460.0,39,7
291475,6,3,35.0,39,7
291489,6,8,15.0,39,7
291559,6,6,31.0,39,7
291601,6,3,80.0,39,7
291657,0,3,1.054,39,7
291713,6,3,38.0,39,7
291867,12,3,380.0,39,0
291972,5,8,2.0,39,7
292098,2,7,43.0,39,7
292553,0,3,278.0,39,7
292588,11,8,1.0,39,7
292609,12,3,33.0,39,0
292735,2,3,400.0,39,0
292777,0,5,700.0,39,7
292833,6,3,151.0,39,7
292861,6,9,230.0,59,7
292987,6,5,113.0,39,0
293029,17,2,41.0,39,0
293064,1,8,5.0,39,1
293442,6,9,55.0,39,0
293456,2,5,160.0,39,7
293498,6,6,13.0,39,7
293883,12,4,56.0,39,0
294107,11,8,7.0,39,7
294373,2,9,271.0,39,7
294457,1,3,176.0,38,7
294464,6,7,20.0,38,7
294702,2,0,26.0,38,2
294821,6,0,82.0,38,7
294926,6,3,31.0,38,7
295493,6,0,50.0,38,7
295514,11,2,51.0,38,7
295591,13,3,1.809,38,7
295871,6,3,48.0,38,0
295962,11,8,1.0,39,0
296088,11,8,3.0,38,7
296193,6,6,28.0,38,7
296235,0,9,188.0,29,7
296263,12,8,8.0,38,7
296368,1,2,16.0,38,7
296473,11,8,10.0,38,2
296501,12,9,219.0,38,7
296739,2,5,271.0,38,0
296886,11,8,1.0,38,7
297012,2,9,1.522,39,7
297040,6,7,118.0,38,7
297082,7,0,98.0,38,7
297110,6,8,1.0,38,2
297208,2,3,87.0,38,7
297320,6,1,40.0,38,0
297383,2,7,12.0,38,7
297432,6,1,58.0,38,7
297481,12,8,2.0,38,7
297558,6,1,165.0,5,0
297600,2,10,1.0,38,0
297698,6,4,18.0,38,0
297964,8,0,101.0,39,7
298118,11,8,5.0,38,7
298125,6,8,3.0,38,7
298244,6,5,137.0,43,7
298468,2,0,82.0,38,7
298482,11,2,4.0,38,0
298594,2,3,120.0,38,7
298636,12,3,9.0,38,0
298664,7,7,57.0,38,7
298678,2,0,24.0,38,0
298825,6,0,39.0,38,7
298916,5,9,1.845,42,0
299133,6,9,169.0,38,0
299175,6,9,321.0,38,7
299392,6,7,29.0,38,7
299399,2,3,277.0,38,0
299581,0,9,579.0,57,0
299665,1,5,51.0,38,1
299889,6,5,164.0,38,7
300050,6,9,246.0,38,0
300302,0,9,5.195,55,0
300330,2,8,2.0,38,7
300351,11,4,7.0,38,7
300407,11,4,10.0,38,7
300449,11,3,1.0,38,7
300463,2,0,74.0,38,7
300477,2,3,136.0,38,7
300554,6,7,24.0,38,0
300617,5,2,3.0,38,7
300736,11,8,1.0,38,7
300827,2,0,42.0,38,7
300876,0,5,225.0,38,7
300967,6,3,28.0,38,0
300988,11,8,2.0,38,2
301030,2,1,41.0,38,7
301065,6,3,47.0,38,7
301226,13,7,99.0,38,7
301247,12,4,9.0,68,2
301254,5,3,3.0,9,7
301352,2,9,853.0,38,7
301541,12,8,5.0,52,7
301716,6,6,35.0,38,7
301751,2,8,13.0,38,7
301765,6,7,7.0,38,0
301800,6,3,33.0,13,7
302087,0,3,95.0,38,7
302108,5,0,12.0,38,0
302136,11,4,12.0,38,7
302234,5,8,6.0,38,4
302262,6,9,467.0,38,7
302269,6,1,53.0,38,7
302283,6,5,85.0,38,2
302507,11,2,6.0,68,7
302528,5,8,1.0,38,0
302626,5,8,5.0,41,0
302745,9,7,118.0,39,0
302857,5,2,23.0,38,0
303137,2,9,500.0,38,0
303165,11,2,9.0,38,2
303256,13,3,1.503,37,7
303487,2,3,125.0,37,0
303536,11,7,94.74681518124376,15,0
303557,2,3,152.0,38,7
303627,6,3,18.0,38,7
303788,9,7,20.0,37,7
303830,5,9,98.0,37,0
303837,0,2,1.0,37,7
303865,2,3,157.0,37,7
303963,2,3,74.0,37,7
304264,6,0,34.0,37,2
304327,7,3,104.0,37,7
304334,1,3,10.0,37,7
304425,2,0,18.0,49,7
304558,6,7,18.0,37,2
304712,8,9,4.348,37,0
304782,13,3,669.0,37,2
304901,12,2,17.0,37,2
304992,12,4,41.0,37,7
