ID,RAIE2010,RAIE2011,RAIE2012,RAIE2013,RAIE2014,RAIE2015,RAIE2016,RAIE2017,RAIE2018,RAIE2019,RAIE2020,RAIE2021,RAIE2022
63123827,990118,2378744,1585999,1567319,1746389,1804514,2400768,2288315,2751464,2375239,2123989,2374345,2986753
63123894,100970316,131198786,117394494,125279618,142937590,140005619,224962899,198614432,184768627,273676241,286789151,347098831,503892918
63123961,6825678,8235163,8564361,9465536,10415548,12406022,14305283,16823840,18093199,19955439,22480737,22348135,24607740
63124005,6709389,11664075,11441231,10775335,11879459,11134154,11365995,13407460,15831074,18413533,0,21901673,26762088
63124084,1238501,"2037344,728","3685815,724",3902364,4822099,4684183,3827600,3174111,2912569,4078151,"712350,113",122104,198000
63124141,5531033,6460231,7684800,8068638,12803164,13045739,15062435,16875874,17625508,20749202,25252986,33289429,31188004
63124148,4394457,"7428570,669",0,8955616,12272140,22579955,15063004,9177418,11948469,22442881,30451187,37266071,55473442
63124339,19332132,21752435,21928644,22748785,23659667,25285290,24646985,26107078,25754581,27234042,23014706,31449148,37845096
63124361,2192387,2609370,3194188,6269807,8174314,11610905,13151588,15191317,22157311,26803171,31937483,47438565,59029686
63124375,14097025,19939416,15877474,13561429,11112196,13977647,18703298,19432998,20331271,18978930,25922698,27945400,35842103
63124417,4397073,3433684,4199198,4457624,5692520,6492364,5282231,7286234,8070634,10414606,6065364,12833808,15981518
63124432,12691383,15070672,17791278,19709104,18172444,22761719,19707132,26497326,33946740,45691772,32797487,46888494,62913173
63124447,"6503479,955",4693398,"13567371,932",10239597,10502356,"8635601,267",4695427,1128594,1194413,7555515,12573061,"19716655,034",13260038
63124526,11121794,12949901,12771633,14229939,16525852,20197732,33508590,35605870,41024672,50891755,50803609,66872727,81820092
63124533,6461381,6899135,6708032,7050585,9269728,9841224,10526142,12647775,14994404,16066040,10984298,17450379,20470567
63124619,11056863,12739815,14513158,12131110,15805262,18359718,20922706,18826213,19472425,7578348,1065534,277200,38168
63124647,60446177,40767028,29918398,13904885,16971829,19049426,22857082,21457869,22928985,19228604,0,24791713,25516189
63124823,6207039,"7026389,416","7057920,571",7335787,7255607,7852161,8405801,9633705,9856741,10175814,6876735,8374645,8496745
63124837,2699337,"3012409,01",3128559,4386542,6949226,9146833,10638295,12134633,12884543,14569758,6940616,16961863,22999082
63124844,7047560,7740604,8566935,10380669,9900938,9506555,7800447,8315020,9305407,11080843,5095152,1366299,0
63124872,599942,747266,1080403,741413,925190,983788,,3846636,1569919,1920201,1078389,1420978,950801
63124921,2780118,3325764,3864004,5295531,5759604,4603636,4994897,5371457,5163602,4588281,1069968,3286035,4153789
63124979,7940859,11728100,11541912,12246489,13651097,15127418,19277378,17919314,15063802,15352470,14090216,17272887,24246974
63125126,540034,781716,853354,1166623,1660412,1900836,1639996,1559269,1653271,1809142,776024,694302,1122334
63125236,11473878,12356734,10999618,10860465,11197988,15273243,15218811,16030502,17834240,17012753,12724319,14245127,16225042
63125370,3791537,1207778,1232098,1268975,1190689,13322809,2264960,6062796,1539353,16293599,"22234825,632",656581,2120235
63125391,6324590,9891603,10263019,13033998,15071709,14728794,14725214,17968362,18342652,17615932,17998333,20791499,0
63125426,0,0,0,0,0,0,173068527,39981,12608,37958385,0,155608,1305321
63125469,2028846,2183440,2532149,2549140,2775104,3339123,3824359,4917416,5156368,5458216,1736284,2911535,5788575
63125490,47759541,55857861,60223587,60307341,87259446,83060667,101166089,98361411,124438365,161779750,122307570,173167281,248099389
63125539,356026,323460,18272,18741,6322,9087,588743,390563,478469,644370,572606,539470,966748
63125560,1165576,2319640,1256710,1383726,1216717,2238580,1921490,2907086,1830218,1917470,2283779,3279568,4499327
63125616,8009134,6598198,4820299,8526080,10929079,10902766,8064452,8346878,7531515,4980328,3170311,0,0
63125623,8421458,9031810,10742437,11118141,11384677,11934467,12113401,12758571,11358352,11537361,13392665,15037312,19830641
63125674,5564610,9231434,12866658,14206314,16231322,24738662,22179791,19771371,18436628,16568372,0,11222829,13410844
63125709,3876611,3807593,4493419,4835199,5664741,5208550,5586491,5686797,5846460,6677227,4525949,6011216,7799868
63125716,0,4337071,3481124,3939892,3812997,5516741,5265074,5857572,7243808,"10698085,36",4099152,8597262,18805141
63125758,10689780,13314139,14615608,15968589,20381961,32764976,42738764,40298126,53523982,65471166,59449759,75266460,89560375
63125772,94133766,106980894,156890223,124203354,115232299,112544354,134795826,148922334,158154561,140022365,143475141,173789035,264284785
63125892,4047062,3179901,5858733,7638676,6571295,8650319,4861559,6244306,5000876,5499888,5065073,5208136,4808739
63125957,5513578,5476547,5585444,5657054,5764838,5850807,6220882,6633052,6633436,6243525,5988410,5813458,5999264
63126164,7251943,7630290,6984485,6797158,7317065,9110038,10373243,11818633,13023971,16527424,23332527,30003097,29061657
63126178,0,5834367,6638288,7159566,7163235,7077108,6417747,8804232,11285993,9617365,7729653,2664739,224438
63126207,7677152,4952027,6544588,8162406,8336262,11374463,13309831,12476301,11277641,14443823,18052356,19728710,18895285
63126256,83180702,120318221,105363434,97308758,16942407,67912771,88858859,87668458,113993884,200407063,211739779,260879319,371086532
63126312,5570209,7948667,6442514,7099751,9959071,8077863,10591252,12275429,15765333,18979874,10963911,11113099,10171604
63126445,0,45640157,0,"42641550,515",48762301,78877035,75470076,89595693,93212058,76693100,82087191,"145469465,885",203348738
63126459,2409885,3434355,2951053,2513237,2668657,2993678,2740474,3275477,3494952,3357670,0,6316437,9406668
63126628,54856685,66147687,73886110,88657595,102761876,121658646,140898996,168713662,160523238,167498230,144108458,126349621,154724226
63126635,3063290,4446503,4913862,3615979,6197483,8367533,9704043,7292096,8341637,5240467,4073288,5376090,3286016
63126649,26656005,29450687,31762350,37539321,41090413,"42546906,33",43777232,35510317,45244216,47608425,53337801,57604741,83078273
63126699,832506,1256875,2048979,1880080,1841080,1958711,2199508,2161053,3302003,4394492,931127,1385701,3356247
63126728,7925794,6237001,15271531,19411831,20186461,16254606,25705456,25107632,37726598,27393936,47528421,55336942,67239109
63126854,8786085,10835659,12054351,11768347,12723898,12416697,15359660,16563071,19799411,21336873,21360697,20263017,27422920
63126885,12249595,12838842,15042808,13194578,9034251,12664956,18150614,15281710,16178484,18736479,20867030,34857902,45296324
63126914,12599174,9090928,7601619,27794910,12264121,15897834,9686612,7797054,11007295,11663819,5890086,9752116,7557896
63127046,0,1344080,1476901,1352299,1553132,1456571,2047884,13224161,2295612,2792629,2818909,2706649,16786695
63127105,32427970,35789691,40742294,38466249,39879656,38026067,54512006,53648319,44776354,52476981,62993454,61826818,87239538
63127140,3458367,4948853,5717781,5494193,8185477,9799668,12156422,6184920,3751488,3161513,1524315,2244654,2187856
63127246,2249433,2386998,3671021,4058877,4161370,4862655,5888930,7609629,5288516,6471478,6443192,6932250,7106995
63127253,3180565,4217095,24303158,14932142,9701049,7322612,10083465,37097483,43118940,55430575,32174939,33294923,58184428
63127281,5451340,5898766,5408480,5163165,4887470,5397237,4036857,5942891,7066393,5957008,5105046,6655209,6824539
63127365,7633624,9288049,12941936,15045523,19292029,21342302,22787615,24446718,26018953,30776661,28011577,36993025,46947445
63127409,15146000,19500295,17578421,17716369,18410309,28881095,46956363,27354136,30042932,26511070,19551638,18889555,32309708
63127514,6350309,"7046116,7",7748526,10020885,10777728,13704269,18136913,19237864,21736403,26904914,29555443,47378082,51977787
63127529,1238511,561438,751050,359238,423269,225819,707241,741105,1034067,3761405,2045897,"2261629,323",0
63127594,2631506,2997302,3282945,3962790,4413009,4778027,5277101,5706917,6009662,6798440,7575633,8366950,8835946
63127680,10167412,11795089,7474446,5507816,5131443,6629999,6663258,5925695,6704865,6683768,5957246,5667122,8791878
63127737,1524009,1194714,353631,492494,747362,712337,3025473,255449,364009,460864,321194,387527,527472
63127786,15076312,14575647,34188643,35529853,"37346209,753",52417748,82105552,51342808,33096178,47819116,26638881,28666418,11006885
63127836,4465220,"5341432,646",7136038,6667826,7128470,8223875,7685263,9015875,10310858,10704834,11741014,9825350,13093581
63127878,871390,3896285,8583560,40202751,75067112,113107750,139942997,154944704,174378062,197763331,219866138,257250882,299281871
63127885,22236069,31844830,9042724,13204878,25449351,52659691,197588259,378506832,321682514,234995265,299301864,572199169,702813028
63127892,12515341,15922629,19474800,20398010,27038737,39585328,39464081,36595528,33923268,31935303,7142102,4744062,4082750
63127913,37159656,42435945,49452059,49041596,50077216,44849224,35005340,37924509,38553299,41911639,31485524,26873839,20403245
63128064,52308853,76150913,92603346,87990303,90182361,94708276,107975802,115294419,116034880,175774720,200255248,234146242,266684462
63128167,2452064,749308,838336,781811,536244,757084,1431739,32033232,16042400,5032723,5005686,11361796,12775418
63128233,5801915,7709512,15427814,13547587,13245248,11575376,11242168,5998765,7783581,5997279,9634655,15402269,"23007895,773"
63128248,6793802,8459721,9100717,11830554,14960973,19582046,29945942,32605430,34933358,41313529,49438645,56049742,68042192
63128263,22183861,26439905,32302208,67098777,63879581,64534201,79337869,107688632,136826756,173640324,184706610,210762955,261004752
63128389,3007097,3753545,4070973,4495540,4835299,4248953,5015477,5812329,5594855,5988941,6739263,9232409,10915357
63128531,5404399,815000,245700,650000,6987585,3672414,7239234,8403997,9843162,3270034,1362500,380000,568000
63128559,8611804,9280988,10347363,10778025,13239142,15480564,17551674,15974979,18014235,20214987,18616934,24557610,33121099
63128580,233757249,314804378,355143106,329265194,345090580,396222889,344201796,320810857,283679754,269679639,369692149,609429250,880843283
63128643,10933875,15794790,17240998,13193716,"14419877,222","16431943,819",15806380,15737167,17100423,19418228,19120939,22277186,26366113
63128680,1337495,1046624,1547766,1798050,1794327,3202196,3263399,3098155,2990926,3627603,4185256,4017572,3665527
63128858,5043433,7362543,15168852,16223214,18801023,15781049,19098845,37560781,24559544,29993269,33970132,41874830,45657663
63128944,358308,583785,600080,8679656,9098638,8983401,14149812,12971533,9070051,10911502,14180960,14628454,36317190
63128951,4486116,6100912,6613893,7396979,5728647,8135746,9986506,8388942,6026089,8059894,10906558,6576986,11044366
63128958,"3708560,827","4495683,039",4847467,4918927,5881302,7430114,8446066,7610632,8819006,8827727,8732025,11899280,12478629
63129015,4784694,4898079,5177619,5241158,5579459,6393218,6701232,7366458,6922762,9028616,10938604,16936318,"28024352,848"
63129162,16125658,13921897,14968914,17209523,24131305,27091466,31376550,37523976,42752532,47614869,53786140,61259020,66278101
63129205,611667,5297846,12696282,8836111,7330410,5626101,6894330,6815983,5810174,"11227964,626",0,10089087,11616632
